Rating,Tanggal,Nama,Ulasan
5,2025-11-28T10:32:15.743Z,Indra Sah,Makan prasmanan suasana nyaman khas pesesaan
5,2025-11-27T16:11:03.571Z,Risma Kurniasih,"Makanan dan minumannya bervariatif, enak, dan harga terjangkau.
Meja dan tempat duduk banyak tersedia, dengan view sawah dan suasana yg cukup tenang.
Tersedia wc dan mushollah yg bersih."
5,2025-11-27T13:57:59.054Z,miyaken,"Tempatnya bagus dan sejuk karena dekat area persawahan, jadi suasananya adem banget. Makanannya enak dan harganya cukup terjangkau. Pisang gorengnya juga rekomendasi, enak, manisnya pas, dan ada ice cream-nya juga. Cocok banget buat family time karena tempatnya nyaman dan santai."
5,2025-11-27T09:31:51.799Z,anggun ramadhani,"enak bgt, pokoknya top??"
5,2025-11-27T02:01:22.409Z,Benny (Bandiger),"Pawon Mbah Gito berkonsep makanan prasmanan.
Ada banyak pilihan makanan di sini.
Harganya juga sangat masuk akal
Restoran sangat luas, ada juga kebun binatang angsa dan merak.
Restoran ini memiliki tempat duduk di dalam dan luar ruangan, tetapi tidak ada AC
Makanan favorit saya adalah tahu goreng yang sangat renyah."
5,2025-11-24T16:42:36.988Z,Irma Adiati Rahmayani,Lupa ga foto makanan dan minumannya karena udh kelaperan hahaha. Makanan dan minumannya enak ?? tempatnya bersih dan sejuk. Akan balik lagi kalo ke Yogya ??
5,2025-11-24T13:56:22.888Z,Arief Prasetyo,Masakan tradisional yg sangat cocok di lidah...
5,2025-11-24T13:05:59.644Z,Theo H,"Suasananya sangat ok ..bisa santai dengan keluarga
Makanan ambil sendiri dengan rasa yang enak ."
5,2025-11-23T13:49:24.191Z,Cely,"Makanannya enak enak, ambil sendiri ygy, temoat nya super cozyyy, nyaman banget pokoknya, view nya cakep, beberapa menu emang pesen dulu dan lumayan nunggu, tempatnya cantik banget menurut aku, dan waktu aku kesana ga yang lagi rame banget banget, ini kalo buat nugas atau me time oke banget, family time juga cocok banget, next time mau kesini lagi, karena dulu mau kesini pernah gajadi cause nunggu sejam, tapi emang pas banget waktu ada wisuda dan itu weekend.

Oiya buat pelayanan nya oke, cuma waktu kesana ada pesen sesuatu tapi lupa belum dibuatin akhirnya pesan ulang dan jadi kok, pelayanan nya ramah juga, makanannya enak, sambel nya ga yang pedes buat yang suka pedas, makanan kaya gini bikin kangen rumah, kangen masakan mama, enak enak pokoknya! Dan bervariasi."
5,2025-11-22T13:56:52.229Z,yuniyati sadewa,"Tempat nya luas dan Asri, cocok untuk acara keluarga, kantor dll"
5,2025-11-21T11:48:12.078Z,Neil Wardhana,"Enak makanannya, stafnya ramah.
Sayang datangnya kami malam, jadi beberapa item makanan sudah ada yg habis.
Cocok utk keluarga, teman kerja dan pasangan."
4,2025-11-19T22:25:29.473Z,Haryanti Ari,"Menu makanannya banyak, kalau mau gorengan pesan saja (pisang goreng, gorengan, singkong goreng). Suasananya nyaman dan sejuk meski siang hari. Bersih dan tertata rapi"
1,2025-11-19T06:11:47.299Z,Bagus soleh,Kurang worth it ya makanan dengan harganya.
4,2025-11-19T04:16:12.109Z,Tri Suwardi,"Pelayanan minuman perlu ditingkatkan, karena pelanggan sudah bosan minum dan tidak datang"
4,2025-11-19T00:30:17.047Z,Patricia Lantang,Buat yg cari tempat view pedesaan yg dikelas dengan gaya elit tradisional.....buat anak2 rekomendasi ada binatang dan view mlm hati sangat bagus...
4,2025-11-18T22:08:02.699Z,Popik Una,"Pertma kali k sana ga ekspek ad t4 mkan yg rame bgt krena tempatnya agak jauh dr jogja kota dan daerh sekitarnya dominan swah2...ksana sekitar jam 3..makanya model prasmanan ambil sendiri..menu nya konsep makanan rumahan gtu..tapi menu udah ga komplit..sayur rata2 tinggal yg kuah santen sma sayur asem.lauk nya juga ud g komplit tgl yang pedes sma rata2 d kuahin kayak mangut lele,ikan ad kuahnya..untuk pelayanan ramah gercep meskipun agak rame.langsug dsambut dan d carikan no meja sesuai jumlah tamu..pemandanganya lumyan bisa liatt sawah,ada hewan juga ky kolam ikan sma burung ,.tempatnya juga konsep jadul gtu..untuk harga si kalo buat aq lumyan mahal si dengan menu ala carte yg mnurut q b aj ky ayam goreng, bakmi jawa,mi letek dbndrol 33rban..smpe ada yg 50rb..tp untuk rasa emng enak.rasanya pas...cocoknya buat makan rombongan kalo makan b2 kyaknya mnding nyari t4 laen aj.."
5,2025-11-17T07:57:18.738Z,data kawasan4,enak banget dan karyawanya ramah
5,2025-11-15T23:22:27.839Z,Alfian Khaibar,Warung nuansa pedesaan. Warung prasmanan yang sangat cocok buat wisata kuliner daerah sekitar jogja.
5,2025-11-14T01:23:47.132Z,Yuwinda Triana Sari,Enak ????
5,2025-11-13T09:58:10.361Z,Toples Bening official,Kopinya mantab by Toples Bening Kopi
5,2025-11-12T13:55:47.372Z,Naufal,"Segmen menengah jadi visa dibilang soal rasa, pelayanan memang lebih baik dari yang di lain tempat. Rasa makanan enak. Hanya beberapa saja menu ikan terasa dagingnya keras. Khususnya ikan asap. Parkir luas. Banyak spot foto. Sehingga gak bosan kalau nongkrong lama. Yang terpenting juga adalah banyak wc dan memiliki tempat sholat yang luas. Sehingga gak bingung kalau ibadah."
1,2025-11-12T13:32:23.358Z,Alex Cristo,"Skrng agak mahal ya! Gak se murah dl
Terus rasanya skrng hambar"
5,2025-11-09T13:06:40.919Z,Ivan Novian,"Kalau anda ke Jogja, apalagi mau ke Kaliurang atau Merapi ini layak dicoba. Saya dan istri berkali-kali kesini ndak pernah bosan. Makanan dan minumannya enak2 semua."
4,2025-11-09T12:56:27.799Z,Chuzaematin Novia,"Makanan jawa prasmanan, harga murah, menu nya banyak, view sawah"
5,2025-11-09T12:17:47.834Z,Fadila Perwitasari,"Makanannya enak, lauknya banyak, pegawainya juga ramah. Tempatnya asri dan rindang, paling cocok buat nongki juga"
4,2025-11-09T07:18:36.556Z,Wiwin Widiawati,Rasa masakan rumahan. Antriannya biasa panjang saat hari libur tapi karyawannya gercep menyiapkan meja. Sayangnya tidak bisa bayar selain tunai atau transfer.
5,2025-11-08T04:46:58.950Z,Sudibio Mutiara,Makanan rumahan yang lezat
5,2025-11-07T05:44:07.400Z,Loony Luna,"Beberapa kali pernah makan di sini. Ternyata jauh lebih rame pas makan siang daripada makan malam. Menu prasmanannya enak dan semua orang yg diajak ke sana pada setuju. Untuk menu yg di luar menu prasmanan, saya paling suka mie lethek goreng. Kayaknya ga banyak tempat makan yg bisa menyuguhkan mie lethek goreng yg mantap seperti ini.
Kudu cobain ya!
Kalau snack yg sering dipesan pisang goreng, tahu tuna dan bakwan jagung. Nah, tapi ini perlu dipastikan dulu ke waitress-nya kira-kira berapa lama. Pernah suatu waktu, makanan beratnya sudah habis namun snack-nya malah belum tersaji sama sekali.
Restonya ini punya daya tampung luar biasa untuk para pengunjung. Ada beberapa hewan di tengah resto pun jadi daya tarik tersendiri untuk anak-anak. Bunga anggreknya juga ternyata asli semua. Menyenangkan untuk dilihat. Kayaknya waktu paling pas buat ke sini di sore menuju malam, bengong melihat perubahan langit di tempat yang banyak padinya sangat menyenangkan!
Mushola tersedia, perpus mini juga, toilet bersih dan pembayaran bisa cashless. Semoga makin sukses ya, Pawon Mbah Gito!"
5,2025-11-07T02:35:31.974Z,M. Gilang Wicaksono,Besar
5,2025-11-05T03:57:44.006Z,Amelia sa,Cocok untuk acara keluarga. Tempat duduk banyak. Pinggir sawah. Kalo weekend rame banget. Makanan enak
5,2025-11-02T15:46:40.610Z,herliena sari,"pilihan menu makanan dan minuman komplit, enak masakannya, dan harga standar.
tempat bersih , meski antrian mengular tp karyawan sigap mencarikan kursi yg kosong??"
5,2025-11-02T11:11:59.996Z,wong ngapak,"Satu kata untuk menu pawon mbah gito

Endulita banget...

Buka jam 7.00 s.d jam 21.00
Weekends /longweekends buka jam 07.00 s.d 22.00

Parkir luas , harga dan rasa sesuai
Pelayanan dan fasilitas komplit (musholla, toilet, meeting room, dll..)"
5,2025-11-01T17:56:57.722Z,Nanang Kosim,"Suasana nyore yang syahdu, dengan view sawah dan suara jenggeret.
Makanan enak dan beragam."
5,2025-11-01T12:48:12.235Z,Fadhlia Febrianto,Makanan banyak variasinya. Rasa enak. Suasana nyaman. Enak buat keluarga.
5,2025-11-01T11:20:59.321Z,Bapak Sugianto,Pelayanannya mantaf sabar sabar
5,2025-11-01T08:21:37.160Z,Rahel Oktafera,"Tempatnya nyaman banget, cocok buat makan malasss. Makanannya enak, bumbunya mantap-pas dan porsinya sesuaikan kapasitas sendri ??. Pelayanan ramah!"
5,2025-10-31T13:00:08.963Z,Masfebri sastrojengat,Pertama datang kesini sekedar showing..konsep yg lumayan bagus dan klasik
5,2025-10-31T07:48:05.749Z,devita nirmala,"Masakan sedap. Suasana nyaman, view sawah sawah"
5,2025-10-30T11:49:19.048Z,Ainul Luthfiana,"makanannya enak enak
harga standar, affordable

menu TOP nya nasi goreng sama kwetiau

prasmanannya enaak

kesana sore mendung, nyaman banget"
1,2025-10-29T09:02:13.494Z,Imam Eko Hadiyanto,"Pelayanan terlalu lama , miscom soal pesanan kurang , tempat lumayan untuk familly"
5,2025-10-27T04:20:05.745Z,Winner Indi M,"Ketagihan berkunjung ke Pawon Mbah Gito, mi letheknya enak, kwetiaunya smoky, nikmat. Atmosphere di restoran nyaman, banyak pilihan tempat duduk—smoking/nonsmoking, outdoor/semi outdoor, kursinya pun beragam. I shall return without a doubt."
5,2025-10-26T13:43:02.801Z,Papa Piantz Anu,"Mantapz, bersih dan eksotis"
1,2025-10-25T11:03:03.961Z,Teguh Darsono,Mengecewakan...
5,2025-10-25T09:15:09.753Z,Aratasa Family,"Mantap sih Pawon Mbah Gito. Kalo dari namanya saya kira seadanya seperti Pawon biasanya, ternyata dalamnya bersih nyaman kayak resto mahal. Joss Jiss berkah selalu mbah"
5,2025-10-22T16:58:27.230Z,Luki Agung Zakaria,"Rasa makanan enak, dan beras kencurr nya jg enak banget"
5,2025-10-22T14:16:41.512Z,Creator POW2,Pilihan menunya banyak..enaaaakkk
5,2025-10-21T11:48:23.598Z,Raboen R,"tempat alternatif untuk makan khas masakan jawa ditambah suasana dipinggir sawah, tempat luas fasilitas lengkap, tempat bersih, menu makanan lumayan lengkap dan rasa enak..
rekomendasi sih..
bisa untuk meeting dan pertemuan"
4,2025-10-21T06:05:44.228Z,Muhammad Firdaus,"Untuk harga kurang worth it yaa..
Bisa di cek lagi sebelum mau makan apa..."
5,2025-10-19T07:11:41.734Z,Asep Mulyana,Masakanya mantaf
5,2025-10-15T11:25:37.807Z,Indah Ratna Mutiara,"Nyobain rekomendasi dari driver online ketika kami berkunjung ke Jogja.
Pelayanannya ramah, Makanan disediakan prasmanan kecuali minuman
Tersedia aneka macam lauk pauk
Harganya murah, rasanya enak banget
tempatnya bersih, musholanya bersih
recommended"
5,2025-10-15T06:37:12.688Z,Riris Desi A,"Makanan enak, es teh nya enak bgt, harga standar. Cocok buat family time keluarga, susana sejuk deket sawah. Karyawannya ramah semua dan gercep dari penerima tamu sampai bayar di kasir, mbak yang jaga kasir ramah bgt jelasin menu dengan detail stok yg masih dan sold. Pertahankan ya??"
5,2025-10-14T16:10:00.680Z,Doank Pollanzky,"Setelah makan berat yang ada di menu prasmanan, tapi tetep pesen bakmie juga. Ga nyangka banget bakmienya seenak itu. Lupa deh nama menu ikannya apa tapi jadi signature juga, itu pun enak. Banyak bangetlah makanan enaknya. Kalo ke Jogja resto ini tuh salah satu yang wajib dikunjungi sih, imo.

Hal lain yang lebih keren adalah para mba dan mas yang super hangat dan helpful. Seneng banget rasanya dilayani sebaik itu. Makasih yaaa."
5,2025-10-14T14:25:43.246Z,abdul rasid,"Enak
Nuansa tradisional"
5,2025-10-14T09:51:59.343Z,Ari Wijaya,Tempat yang indah untuk sarapan.
5,2025-10-14T09:02:55.188Z,annisa latifah,"Pengalaman saya makan disini…enak…bersih…pelayanan ramah…sudah berdonasi untuk palestine…asri…jalan masuknya kecil tapi banyak banget yang mau kesana…didukung ustadz2
Barakallah…semoga sukses terus ya…"
5,2025-10-14T06:00:07.019Z,afina s,"Enak enak makanannya, tempatnya juga nyaman banget viewnya sawah hijau. Menunya banyak. Cocok buat makan bareng keluarga"
5,2025-10-14T04:49:31.597Z,Istiqomah Isti,"Makanan nya enak tapi ada beberapa snack seperti es krim dan lain nya yg harga jya gak masuk akalll,"
5,2025-10-13T08:50:44.707Z,Iwan Deswandi,"Makanannya lumayan enak, sayang tempat duduk tidak bisa memillih sendiri , dapat kursi yg pendek sehingga makannya kurang nyaman  , pembayaran sebaiknya langsung, sehingga tidak antre 2 x.."
5,2025-10-13T04:11:39.939Z,Febi anggi Riyawan,"Nasinya kering ??
Tapi keseluruhan baik"
5,2025-10-12T22:21:53.631Z,Ariyandi Sukatiyadi,"Klo mau makan nyaman mending pagi sekali, klo sudah diatas jam 8, ampun bnyak orang, dan berisik banget...."
5,2025-10-12T13:41:57.637Z,iwan aminto ardi,"Tempat nyaman, luas, banyak variasi menu, pelayanan cepat"
4,2025-10-11T10:52:47.040Z,Wiwin astuty,"Makanan enak-enak, tempat luas"
4,2025-10-10T11:16:44.131Z,Anastasia Nindya,"Banyak pilihan masakan rumahan, tempatnya luas dan nyaman"
1,2025-10-10T04:42:44.203Z,Diah Sari,Udah jauh-jauh datang terus ditolak ga bisa pesan makan minum alasan sedang istirahat
1,2025-10-10T04:36:58.956Z,EVY YUSRIANI,"Pengunjung sudah sampai, namun di minta tunggu 1 jam karena tidak bisa bertransaksi karena waktu sholat. Resto ini tidak ada backup plan jika pengunjung membludak"
5,2025-10-07T13:50:18.571Z,Farid Yustisiawan,"Istimewa. Makan prasmanan, minum yg enak n rumah yg klasik model joglo menambah khas Pawon Mbah Gito. Rekomen ??"
4,2025-10-06T02:13:44.892Z,Saiful Rochman,"Menu lumayan banyak pilihan, masakan rumahan yang mungkin sudah jarang kita masak sendiri"
5,2025-10-05T08:24:40.286Z,Yuliana Indrawati,"Makin Bagus Restonya,makin Luas, menu makanan Beragam.Rasa ndeso yg ngangenin.Sukses terus pawon mbah gito"
5,2025-10-04T01:34:43.936Z,dont subscribe,"Akhirnya berhasil kesini yg ke tiga kalinya bisa parkir krn yang pertama sama yg kedua ga dapat parkir akhirnya balik pulang. Parkirnya memang masih kurang luas.

Makanan sama spt makanan resto tradisional di jogja. Dominan manis dan pedes. So far okay okay saja

View bagus alam sekitar persawahan."
5,2025-10-02T12:10:13.393Z,Tata Febri,"cocok buat makan bareng keluarga, tempatnya luas, pilihan makanan nya banyak, harga masi worth it ????"
4,2025-10-02T10:45:23.029Z,Sutio adi ruhono,"Makanan sengaja di jual parsial seperti lauk pauk, namun secara total tarifnya "" MAHAL"""
5,2025-10-02T01:02:32.716Z,Wardana khoir,"Sarapan di sini sangat nyaman suasananya, makanan ala masakan rumah (Jawa) banyak pilihan menunya.
No music ya
Parkir cukup luas"
5,2025-10-01T09:33:34.553Z,Shofiyatun Nisa,"Stafnya ramah, dan suasana hangat dan mengundang membuat setiap hidangan terasa istimewa"
4,2025-10-01T00:45:52.686Z,fachrul azwi,"Bagi saya, mbah Gito adalah tempat makan kumpul keluarga, baik dewasa maupun anak2,, sebaiknya di area table makan itu bebas asap rokok dan trpasang larangan merokok..
Area merokok mngkin cocok di area barstool yang jarang ada anak2 makan dsana"
5,2025-09-30T05:24:51.252Z,Anjar Yulianto,"Menu makanan komplit, enak, bersih, prasmanan, harga terjangkau, tempat nyaman dan luas, bisa berlama2 sambil ngobrol2, bagus untuk foto2 selfi.. pelayanan ramah.. parkir luas."
3,2025-09-27T23:47:07.186Z,Ar Collection,"First time kesini ""agak"" kecewa. Pesen bakmi godog tp kuahnya sudah tidak panas, yg paling kecewa kagak ada daging ayamnya huhu padahal rasanya enak sebenernya cuma tidak panas dan ga ada dagingnya. Pesen teh jahe sereh jg ga panas tehnya jadi  rempahnya ga keluar rasanya padahal lumayan banyak jahe dan sereh yg dimasukan ke teh, disisi lain ga di geprek juga jadi makin ga keluar rasa rempahnya. Teh tariknya b aja, rasa teh dan creamy nya kurang cuma dominan rasa SKM aja?????? Klo buat balik kesana lagi sorry to say kyknyaa ga akan balik cukup sekali ajaaa???? klo pelayanannya mantaaaapppp"
4,2025-09-24T04:40:36.301Z,Alinakey,"Pawon Mbah Gito menyajikan berbagai macam masakan rumahan khas Jawa yang lezat. Bangunan kayu tradisional menciptakan suasana hangat dan unik, sedangkan pemandangan persawahan yang indah membuat bersantap di sini santai dan berkesan."
4,2025-09-23T08:06:34.755Z,Lucia Andrianti,"Makanan dan temapatnya enak tapi metode pembayarannya gak fleksible, kasir minta cash payment, hari gini mana ada bawa uang cash banyak...jaman udah canggih, bisa Qris or debet, kalau harus cash atau transfer kayaknya ga efektif..."
5,2025-09-23T04:00:06.626Z,Ageng Sutadiredja,Pertama kali coba ke Pawon Mbah Gito di hari biasa dan pagi pagi.  Alhamdulilah makanan masih fresh dan banyak pilihan serta ga antri. Suasananya lumayan adem dgn view sawah.. makanan ala rumahan dan kita bisa pilih. Macamnya. Minumannya juga banyak pilihan baik yang panas atau dingin.
5,2025-09-22T05:56:04.259Z,Sulistini Dwi Putranti,Tempat yang sangat bagus untuk berkumpul bersama teman dan keluarga
4,2025-09-21T02:44:52.682Z,Agus PD,"Jika Anda menyukai makanan tradisional Jawa, Mbah Gito adalah restoran favorit yang dikunjungi keluarga dan teman. Resto ini telah memperluas fasilitasnya untuk menampung lebih banyak pengunjung. Sekarang ada nyonya rumah yang akan menentukan tempat duduk untuk Anda. Pada akhir pekan buka jam 7 pagi, jika rombongan besar akan lebih baik untuk memesan kursi terlebih dahulu.l. Makanan dan camilannya autentik dan rasanya enak, tetapi sebagian besar memiliki rasa manis. Selain minuman herbal tradisional (wedang), untungnya kini mereka juga menyajikan cappucino dan latte asli. Harga makanan dan minuman cukup masuk akal. Misalnya sepiring nasi dengan 3 sayur hanya Rp. 13K. Cappucino dan latte seharga Rp. masing-masing 29K."
1,2025-09-19T14:36:38.625Z,Paisal Parakkasi,Makanannya lama sekali... 1 jam menunggu sebelum makan (19/9/25)
1,2025-09-19T14:09:34.795Z,Muhammad Rifki,"Proses penyajian pesanan sangat2 lama,, kami menunggu sampai sejam lebih pesanan belum datang juga????"
5,2025-09-19T03:38:26.675Z,Nurbaiti Kumala Al-Mahmudi,Ngangeni pokoknya... menu rumahan yang memanjakan lidah tapi lumayan juga pilihan lainnya untuk dicicipi. Harga sangat rasional! Buruan deh mampir pasti ketagihan..hehehe
5,2025-09-16T03:47:27.017Z,Miss Rianto,Nah.. ini nih.. hiden gems di jogja. Masakannya uwenak pool.. teringat masakan almh nenekku dan almh ibu. Nostalgia rasanya.
5,2025-09-15T05:36:10.448Z,Sri Nurtiny,"Menunya enak2 rasanya pas ,recomded Untuk yg kw yogja makan disini mantappp semua the best"
4,2025-09-14T14:09:14.731Z,Tri lestari Handayani,Enak
4,2025-09-14T10:27:54.257Z,Subagyo Hadimartono,Berkumpul dengan keluarga dan temen-teman lama
3,2025-09-14T09:47:06.482Z,ARIFAH ISTIQOMAH,"datang hari minggu jam 16.15 makanan yg prasmanan udah pada habis semua tinggal nasi doang ama sayur tdk reffil lg katanya refil terakhir jam 14.00  jadi bisa pesannya hanya yg alacarte menunya bakmi, nasgor dan ayam goreng padahal tutupnya masih jam 22.00
saran sih kalau emang tutup jam 22.00 harusnya prasmanannya di reffil lagi paling tidak yg menu favorite atau menu andalannya. padahal dl kesini sore pun masih rame dan makanan masih banyak, menurut saya ini jd penuruan sih pantesan sepi. kita pesan mendoan dan bakwan jagung pun laaamaaa bgt datangnya"
4,2025-09-12T21:22:40.146Z,Magical FairyDust,"makanan enak tempat bagus pelayanan bagus
waktu tunggu makanan prasmanan indonesia adalah 1 hingga 10 menit"
5,2025-09-11T07:30:36.316Z,rajni rekawati,"Tempat yang indah untuk sarapan pagi
Staf yang ramah
Banyak variasi makanan"
5,2025-09-11T02:15:15.447Z,Yusuf Sapta,"Makanan banyak pilihan, suasana nya enak"
5,2025-09-11T01:54:10.526Z,Secret You and me,"Gabisa berword word lagi lah, tempatnya gak berisik, santai, sejuk, tempatnya bersih wow banget ??, makanan masuk di lidah saya sebagai org sumatra, karyawannya murah senyum semua, dan kang parkirnya juga, best ???? akan balik lagi next time ??"
5,2025-09-10T00:13:10.360Z,Rika Yunitiawati,Enak dan Nyaman
5,2025-09-09T16:46:42.067Z,RBG ARIANTO,"Lokasi Tidak terlalu jauh dri jalan Utama.
Akses parkir lumayan cukup banyak dan pengelola parkir cukup sigap untuk mengatur parkir.
Layanan service cukup tanggap dan cepat.
Ada beberapa area indoor, mewah (mepet sawah), atau joglo tergantung kondisi dan pengunjung.

Rasa makanan kebetulan mencicipi yg alacarte dan dri semua pesanan enak dan cukup memuaskan.
Harga sebanding dengan lokasi dan rasa.

Mushollanya besar dan nyaman.

Kamar mandinya yg belakamg cukup sempit.

Banyak kolam ikan.

saran kedepannya untuk dapat dibangun untuk lokasi playground anak-anak karena saya amati yg menikmati disitu keluarga dengan anak-anak yang mash kecil, dn cukup repot untuk menghabiskan waktu yg cukup lama"
5,2025-09-09T14:30:35.160Z,Riski Dwi Rahayu,"Makanan : enakkkkkk bgt, minusnya porsi nya kurang banyak menurut aku.
Layanan : kemarin kebagian yg serve makannya lama, tapi sudah di tanya terlebih dahulu sm tim resto, jadi kita ngga ngerasa di tipu. So far pelayanan sangat ramah ya
Suasana : nyamann"
4,2025-09-09T04:43:50.864Z,affanvanby dap,"Tempat nyaman, suasana bagus & makanan   enak, tetapi tolong di perhatikan tempat area penyajian/penyimpanan makanan, ada cicak didekat tempat makanan (lihat Foto)"
5,2025-09-08T07:01:14.783Z,Y26 1908,"Masakan enak sesuai dengan lidah kita org jawa...mantap, sfaff ramah dan tempat jg bersih...semoga laris terus, pertahankan rasa masakan agar pelanggan setia..."
5,2025-09-07T16:14:47.995Z,Viviyanti Yuniastuti,"view bagus, parkir ada, makanan nya lumayan bervariasi dan enak"
5,2025-09-07T11:26:47.355Z,Valencia Jane,"Semua enak, murah, ga ada yang mengecewakan"
5,2025-09-07T03:35:16.694Z,Christensen Makasihi,"Enak & murah2, cocok kongkow bareng keluarga & tmn2...

Soon akan balik lg ksni ??"
5,2025-09-07T03:06:10.465Z,Maulidya Devita,Pasti akan kembali!!!
5,2025-09-06T14:56:36.582Z,Chinta Imbran,"es cendol
Pisang goreng
Kopi desa
Roti jahe Nenek Gito
Nasi sayur lodeh dengan sambal
Bihun dengan sambal dadar
Nasi goreng bebek ijo lombok

Itu menu favoritku; silakan coba!!!!

Luar biasa!!"
5,2025-09-06T09:47:14.208Z,Yodi Hanidi,"Tempatnya luas, banyak dinning areanya.
Sistem antrian jg lebih bagus dr tempat sejenis.
Pilihan menu cukup banyak dan enak² semua.
Ada musholla."
4,2025-09-06T08:48:58.877Z,Dian Irawan Dian,"Makanan enak, agak pedas. Sayang antri cukup lama karena pas libur panjang dan barengan sama rombongan pk bis."
5,2025-09-06T04:26:14.273Z,Ahmad Bdw,Menu & pelayanan nya Joss bgt
5,2025-09-06T02:47:33.222Z,santy putri,Momen yang sangat bagus makanan yang sangat enak rasanya sangat enak... Pemandangan yang indah dan tempat yang indah... Bersih dan tertata rapi
2,2025-09-05T05:08:36.966Z,Nurul Kholifah,"hanya jual suasana dan tempat gees, makanan biasa aja plus mahal banget
jenang semangkok kecil bgd 13rb
es teh 10rb
buat beli es teh jumbo pinggir jalan udah dpt 4 geess"
1,2025-09-04T02:04:18.552Z,Azhari Dr,"Omset anda menurun?bisa jadi penyebab kualitas makanan yg anda sajikan ga enak,saya ga subjektif,bahkan karyawan anda juga mengakui bahwa masakannya asin,pelayan anda sudah baik menawarkan untuk diganti yg baru tapi harus menunggu entah sampai kapan hingga saya tidak bisa menunggu lama karena ada urusan,akhirnya saya pulang setelah minum air es,kopi dan tempe tepung yg rasanya aneh juga,btw untuk harga relatif ya,no komen,terimakasih experiencenya"
5,2025-09-03T01:45:47.961Z,Muhammad Ilham Abdul Majid,Cocok enakk
5,2025-09-02T14:24:11.106Z,Aprillia Purbasari,"tempatnya adem banget enak, dari pelayan oke sih menunya juga menggoda pwollll, ini juga gak boleh di skip sih kalo ke jogja??"
5,2025-09-02T11:58:09.889Z,Muhammad Rifqi Aldebaran,MAKANAN JAWA LUAS TEMPAT NYA. HINDARI JAM JAM RAWAN ANTARA JAM 12.00 - 13.00
5,2025-09-01T23:00:01.208Z,Henok Natanael,suasana nyaman dengan pelayanan yang baik dan cepat
5,2025-09-01T10:46:59.521Z,Reni Rupini,Anak-anak senang ada binatangnya ??
5,2025-09-01T07:51:09.238Z,Agung Herywibowo,"Rasa makannya pas, viewnya bagus, yg pasti enak, next pasti datang lagi kesini"
5,2025-08-31T07:21:19.716Z,desi puji,"Suasana desa nya dapet dengan makanan khas jogja, tempatnya luas, cocok buat rombongan. Pelayanan ramah"
5,2025-08-30T10:36:58.207Z,Dika Bimanstara,Enak iki
5,2025-08-30T00:57:13.116Z,Ariyanto A. Setyawan,"sarapan hari Sabtu, datang jam 7:30 masih kosong.
begitu jam 8 sudah penuh…"
5,2025-08-29T15:28:55.147Z,dian anggadewi,"Pilihan makanan prasmanan ndeso yang beragam dari sayuran hingga lauk
Banyak pilihan Camilannya
Untuk minuman dari minuman ndeso sampai kekinian ada
Menu kopi dibuat oleh barista menggunakan mesin kopi
Tempat makan tersedia banyak dan terdapat beberapa tema dari pendopo, rumah vintage sampai ruangan rapat
Suasana yang nyaman dipinggir sawah, terdapat beberapa hewannpeliharaan"
5,2025-08-29T13:22:54.968Z,nilna izzil,"Pas dateng sore sore setelah hujan, hawanya sejuk dan makanannya enak! kombinasi yg sempurna. Masakannya jelas sedep semua, oseng daun pepayanya agak pait tapi tetep enak.
Banyak pilihan snacknya juga loh."
5,2025-08-28T08:35:40.478Z,Joki Setiawan,"Bagi yang cari rumah makan dengan pemandangan desa, Pawon Mbah Gito ini bisa dijadikan salah satu pilihan.

Menunya amat banyak sekali...
Rasa masakan enak sekali.
Cuman saya tidak melihat gudeg.

Tempat duduk ada beberapa pilihan.

Di samping terlihat sawah, ada burung merak dalam sangkar."
4,2025-08-27T12:39:07.235Z,annisa fitri,"Untuk makanan rasanya masih jauh dengan warung ndeso, tapi saya suka dengan pelayanan yang ramah, rapi dan profesional. Semuanya berseragam muslim, jadi nilai plus. Tempat nyaman, luas dan bersih. Untuk harga, yaa mungkin sesuai dengan standar pelayanan juga. Total makan berdua nasi sayur lauk, wedang jeruk 1 78k"
5,2025-08-27T12:09:50.617Z,Arai Iara,"Nyama tempatnya, makanannya enak,jenangnya enak"
5,2025-08-26T16:43:11.360Z,Rahmad kenari,"Makanan enak
Teh nya jga mantep
Suasana sejuk dan bisa lihat sawah"
5,2025-08-26T10:29:53.973Z,jamilatul affifah,"makanan enakkk,ambience juga enakkk,ramah ramah jugaaaaa"
5,2025-08-24T15:06:48.955Z,Agus BN,"Cocok sesuai selera dan enaaak,"
5,2025-08-23T10:04:13.499Z,Supartono Muhammad,"Lumayan suasanya, masakannya biasa saja"
5,2025-08-22T13:26:13.222Z,Mesut Ozil,"Makanan rumahan dengan pemandangan indah, cocok untuk keluarga ????"
5,2025-08-22T08:44:30.944Z,BEN BOUBOU AYAM,THE GOOD FOOD TRADITIONEL INDONESIA !!!???????????? TIM YANG BAIK DAN SANGAT BERSIH
5,2025-08-22T04:11:16.712Z,Agus Sianipar,"Kudu bgt dijambangi!
Byk varian makanan lokal. Ambience nya nenangin."
